type,detector,direction,Pe,sigma,alpha,delta_alpha,sensitivity,detection_limit_delta_alpha
curve,fullfield_T,strengthen,200,0.01,1.4,0.4,0.000000,
curve,fullfield_T,strengthen,200,0.01,1.5,0.5,0.066667,
limit,fullfield_T,strengthen,200,0.01,,,,>0.5 (strengthen)
curve,signature,weaken,200,0.05,1.0,0.0,0.000000,
curve,signature,weaken,200,0.05,0.9,0.1,0.066667,
curve,signature,weaken,200,0.05,0.8,0.2,0.283333,
curve,signature,weaken,200,0.05,0.7,0.3,0.316667,
curve,signature,weaken,200,0.05,0.6,0.4,0.516667,
curve,signature,weaken,200,0.05,0.5,0.5,0.600000,
limit,signature,weaken,200,0.05,,,,>0.5
curve,Twall_max,weaken,200,0.05,1.0,0.0,0.050000,
curve,Twall_max,weaken,200,0.05,0.9,0.1,0.033333,
curve,Twall_max,weaken,200,0.05,0.8,0.2,0.066667,
curve,Twall_max,weaken,200,0.05,0.7,0.3,0.050000,
curve,Twall_max,weaken,200,0.05,0.6,0.4,0.050000,
curve,Twall_max,weaken,200,0.05,0.5,0.5,0.066667,
limit,Twall_max,weaken,200,0.05,,,,>0.5
curve,Nu_mean,weaken,200,0.05,1.0,0.0,0.050000,
curve,Nu_mean,weaken,200,0.05,0.9,0.1,0.066667,
curve,Nu_mean,weaken,200,0.05,0.8,0.2,0.083333,
curve,Nu_mean,weaken,200,0.05,0.7,0.3,0.050000,
curve,Nu_mean,weaken,200,0.05,0.6,0.4,0.033333,
curve,Nu_mean,weaken,200,0.05,0.5,0.5,0.033333,
limit,Nu_mean,weaken,200,0.05,,,,>0.5
curve,fullfield_T,weaken,200,0.05,1.0,0.0,0.050000,
curve,fullfield_T,weaken,200,0.05,0.9,0.1,0.066667,
curve,fullfield_T,weaken,200,0.05,0.8,0.2,0.066667,
curve,fullfield_T,weaken,200,0.05,0.7,0.3,0.066667,
curve,fullfield_T,weaken,200,0.05,0.6,0.4,0.083333,
curve,fullfield_T,weaken,200,0.05,0.5,0.5,0.066667,
limit,fullfield_T,weaken,200,0.05,,,,>0.5
curve,signature,strengthen,200,0.05,1.0,0.0,0.000000,
curve,signature,strengthen,200,0.05,1.1,0.1,0.000000,
curve,signature,strengthen,200,0.05,1.2,0.2,0.050000,
curve,signature,strengthen,200,0.05,1.3,0.3,0.283333,
curve,signature,strengthen,200,0.05,1.4,0.4,0.266667,
curve,signature,strengthen,200,0.05,1.5,0.5,0.450000,
limit,signature,strengthen,200,0.05,,,,>0.5 (strengthen)
curve,Twall_max,strengthen,200,0.05,1.0,0.0,0.050000,
curve,Twall_max,strengthen,200,0.05,1.1,0.1,0.033333,
curve,Twall_max,strengthen,200,0.05,1.2,0.2,0.066667,
curve,Twall_max,strengthen,200,0.05,1.3,0.3,0.033333,
curve,Twall_max,strengthen,200,0.05,1.4,0.4,0.033333,
curve,Twall_max,strengthen,200,0.05,1.5,0.5,0.033333,
limit,Twall_max,strengthen,200,0.05,,,,>0.5 (strengthen)
curve,Nu_mean,strengthen,200,0.05,1.0,0.0,0.050000,
curve,Nu_mean,strengthen,200,0.05,1.1,0.1,0.083333,
curve,Nu_mean,strengthen,200,0.05,1.2,0.2,0.100000,
curve,Nu_mean,strengthen,200,0.05,1.3,0.3,0.100000,
curve,Nu_mean,strengthen,200,0.05,1.4,0.4,0.100000,
curve,Nu_mean,strengthen,200,0.05,1.5,0.5,0.116667,
limit,Nu_mean,strengthen,200,0.05,,,,>0.5 (strengthen)
curve,fullfield_T,strengthen,200,0.05,1.0,0.0,0.050000,
curve,fullfield_T,strengthen,200,0.05,1.1,0.1,0.066667,
curve,fullfield_T,strengthen,200,0.05,1.2,0.2,0.100000,
curve,fullfield_T,strengthen,200,0.05,1.3,0.3,0.166667,
curve,fullfield_T,strengthen,200,0.05,1.4,0.4,0.150000,
curve,fullfield_T,strengthen,200,0.05,1.5,0.5,0.166667,
limit,fullfield_T,strengthen,200,0.05,,,,>0.5 (strengthen)
